Instances,Source,feature_stationCount,feature_directionChangeCount,feature_totalPassengerCount,feature_avgPassengerCount,feature_avgPassengerRouteLength,feature_avgRailCarriageCapacity,feature_stdDevRailCarriageCapacity,feature_avgCongestion,algo_firstAvailableCarriage,algo_greedyPassengerOrder,algo_greedyAllPassenger
simple_1,SimpleGenerator,5,2,6,1.2,2.5,1.0,0.0,0.75,133.0,133.0,187.0
simple_2,SimpleGenerator,5,2,16,3.2,1.3125,2.0,0.0,0.7,447.0,393.0,395.0
simple_3,SimpleGenerator,6,3,34,5.666666666666667,1.9705882352941178,18.0,0.0,0.20679012345679013,1065.0,721.0,721.0
simple_4,SimpleGenerator,6,2,14,2.3333333333333335,1.5,2.0,0.0,0.5833333333333334,371.0,307.0,295.0
simple_5,SimpleGenerator,7,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simple_6,SimpleGenerator,7,2,13,1.8571428571428572,2.0,4.0,0.0,0.4642857142857143,403.0,403.0,419.0
simple_7,SimpleGenerator,4,1,68,17.0,1.588235294117647,18.0,0.0,0.375,2222.0,1412.0,1438.0
simple_8,SimpleGenerator,4,1,62,15.5,1.467741935483871,19.0,0.0,0.5986842105263158,2826.0,2638.0,2645.0
simple_9,SimpleGenerator,5,2,26,5.2,1.9230769230769231,14.0,0.0,0.3571428571428571,942.0,830.0,830.0
simple_10,SimpleGenerator,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simple_11,SimpleGenerator,6,2,17,2.8333333333333335,1.7647058823529411,3.0,0.0,0.3333333333333333,409.0,307.0,279.0
simple_12,SimpleGenerator,5,2,5,1.0,2.2,17.0,0.0,0.12941176470588237,140.0,140.0,140.0
simple_13,SimpleGenerator,8,2,18,2.25,2.5,13.0,0.0,0.08653846153846154,886.0,374.0,374.0
simple_14,SimpleGenerator,7,2,2,0.2857142857142857,3.0,6.0,0.0,0.14285714285714285,45.0,45.0,45.0
simple_15,SimpleGenerator,4,2,24,6.0,1.4583333333333333,6.0,0.0,0.4861111111111111,971.0,821.0,789.0
simple_16,SimpleGenerator,5,4,25,5.0,2.28,17.0,0.0,0.6705882352941177,838.0,838.0,838.0
simple_17,SimpleGenerator,4,2,71,17.75,1.4366197183098592,19.0,0.0,0.4473684210526315,2123.0,1467.0,1467.0
simple_18,SimpleGenerator,8,5,17,2.125,2.2941176470588234,14.0,0.0,0.17410714285714285,751.0,691.0,691.0
simple_19,SimpleGenerator,6,4,20,3.3333333333333335,2.05,9.0,0.0,0.2530864197530864,739.0,717.0,717.0
simple_20,SimpleGenerator,7,4,16,2.2857142857142856,2.125,8.0,0.0,0.6071428571428571,790.0,790.0,790.0
simple_21,SimpleGenerator,4,2,141,35.25,1.4184397163120568,19.0,0.0,0.5263157894736842,4146.0,2810.0,2526.0
simple_22,SimpleGenerator,4,1,117,29.25,1.5213675213675213,14.0,0.0,0.6357142857142857,3192.0,2284.0,1927.0
simple_23,SimpleGenerator,5,3,129,25.8,1.689922480620155,13.0,0.0,0.558974358974359,3217.0,1987.0,1787.0
simple_24,SimpleGenerator,4,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
simple_25,SimpleGenerator,4,1,35,8.75,1.542857142857143,12.0,0.0,0.375,1211.0,1009.0,985.0
simple_26,SimpleGenerator,4,1,16,4.0,1.3125,2.0,0.0,0.65625,411.0,405.0,375.0
simple_27,SimpleGenerator,8,4,73,9.125,1.9452054794520548,6.0,0.0,0.7395833333333333,2027.0,1567.0,1358.0
simple_28,SimpleGenerator,4,1,26,6.5,1.3461538461538463,9.0,0.0,0.4861111111111111,1395.0,1357.0,1369.0
simple_29,SimpleGenerator,8,5,26,3.25,2.923076923076923,8.0,0.0,0.59375,1091.0,1077.0,1077.0
simple_30,SimpleGenerator,5,1,67,13.4,1.671641791044776,7.0,0.0,0.64,1630.0,1282.0,1143.0
simple_31,SimpleGenerator,7,3,84,12.0,2.369047619047619,11.0,0.0,0.5168831168831168,2089.0,1481.0,1457.0
simple_32,SimpleGenerator,5,1,38,7.6,1.5,19.0,0.0,0.12,740.0,592.0,592.0
simple_33,SimpleGenerator,6,3,9,1.5,2.0,2.0,0.0,0.3,305.0,145.0,145.0
simple_34,SimpleGenerator,5,1,5,1.0,2.4,14.0,0.0,0.17142857142857143,247.0,247.0,247.0
simple_35,SimpleGenerator,7,2,52,7.428571428571429,2.480769230769231,12.0,0.0,0.511904761904762,1891.0,1477.0,1497.0
simple_36,SimpleGenerator,7,3,10,1.4285714285714286,1.9,10.0,0.0,0.13571428571428573,429.0,429.0,429.0
simple_37,SimpleGenerator,4,0,1,0.25,2.0,4.0,0.0,0.041666666666666664,50.0,50.0,50.0
simple_38,SimpleGenerator,8,4,20,2.5,2.5,3.0,0.0,0.6944444444444444,551.0,533.0,571.0
simple_39,SimpleGenerator,6,3,3,0.5,3.0,6.0,0.0,0.049999999999999996,102.0,86.0,86.0
simple_40,SimpleGenerator,7,5,144,20.571428571428573,2.298611111111111,17.0,0.0,0.5563025210084034,3826.0,2538.0,2450.0
simple_41,SimpleGenerator,4,0,32,8.0,1.40625,18.0,0.0,0.625,1446.0,1446.0,1446.0
simple_42,SimpleGenerator,7,3,31,4.428571428571429,2.225806451612903,19.0,0.0,0.08646616541353383,923.0,353.0,353.0
simple_43,SimpleGenerator,7,2,84,12.0,2.3214285714285716,10.0,0.0,0.5571428571428572,2462.0,1392.0,1368.0
simple_44,SimpleGenerator,7,4,3,0.42857142857142855,1.0,1.0,0.0,0.42857142857142855,138.0,138.0,138.0
simple_45,SimpleGenerator,8,1,20,2.5,2.2,3.0,0.0,0.4583333333333333,474.0,454.0,562.0
simple_46,SimpleGenerator,8,3,17,2.125,2.588235294117647,6.0,0.0,0.3055555555555555,506.0,412.0,412.0
simple_47,SimpleGenerator,5,2,152,30.4,1.5986842105263157,19.0,0.0,0.6394736842105263,4275.0,3847.0,3911.0
simple_48,SimpleGenerator,4,2,13,3.25,1.5384615384615385,2.0,0.0,0.5,409.0,315.0,281.0
simple_49,SimpleGenerator,6,3,63,10.5,1.7936507936507937,14.0,0.0,0.3363095238095238,2319.0,1647.0,1659.0
simple_50,SimpleGenerator,5,2,45,9.0,1.8666666666666667,5.0,0.0,0.5599999999999999,903.0,705.0,689.0
simple_51,SimpleGenerator,8,5,59,7.375,2.389830508474576,9.0,0.0,0.6527777777777778,1522.0,1370.0,1384.0
simple_52,SimpleGenerator,7,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simple_53,SimpleGenerator,5,1,34,6.8,1.7058823529411764,14.0,0.0,0.20714285714285716,817.0,591.0,591.0
simple_54,SimpleGenerator,7,5,15,2.142857142857143,2.933333333333333,12.0,0.0,0.5238095238095238,742.0,742.0,742.0
simple_55,SimpleGenerator,4,3,47,11.75,1.446808510638298,7.0,0.0,0.48571428571428577,1091.0,887.0,907.0
simple_56,SimpleGenerator,5,2,5,1.0,2.4,1.0,0.0,0.4,207.0,75.0,71.0
simple_57,SimpleGenerator,8,2,51,6.375,2.196078431372549,5.0,0.0,0.7,1264.0,1226.0,1230.0
simple_58,SimpleGenerator,8,5,6,0.75,2.6666666666666665,4.0,0.0,0.08333333333333333,327.0,145.0,145.0
simple_59,SimpleGenerator,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simple_60,SimpleGenerator,5,1,3,0.6,1.6666666666666667,1.0,0.0,0.25,94.0,94.0,94.0
simple_61,SimpleGenerator,6,2,17,2.8333333333333335,1.7647058823529411,3.0,0.0,0.5555555555555555,488.0,482.0,504.0
simple_62,SimpleGenerator,6,3,9,1.5,2.111111111111111,10.0,0.0,0.3166666666666667,297.0,297.0,297.0
simple_63,SimpleGenerator,8,4,135,16.875,2.511111111111111,19.0,0.0,0.743421052631579,4290.0,3920.0,3886.0
simple_64,SimpleGenerator,7,0,61,8.714285714285714,2.1147540983606556,18.0,0.0,0.255952380952381,1161.0,1141.0,1145.0
simple_65,SimpleGenerator,4,1,82,20.5,1.2195121951219512,14.0,0.0,0.5952380952380952,2843.0,2637.0,2723.0
simple_66,SimpleGenerator,8,4,106,13.25,2.5377358490566038,16.0,0.0,0.7005208333333334,3383.0,2765.0,2539.0
simple_67,SimpleGenerator,8,3,13,1.625,2.6923076923076925,10.0,0.0,0.08750000000000001,295.0,183.0,183.0
simple_68,SimpleGenerator,5,3,2,0.4,2.5,6.0,0.0,0.16666666666666666,113.0,113.0,113.0
simple_69,SimpleGenerator,4,2,42,10.5,1.4285714285714286,9.0,0.0,0.3333333333333333,1234.0,944.0,926.0
simple_70,SimpleGenerator,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simple_71,SimpleGenerator,6,2,53,8.833333333333334,2.056603773584906,8.0,0.0,0.37847222222222227,1247.0,735.0,715.0
simple_72,SimpleGenerator,4,1,3,0.75,1.0,2.0,0.0,0.375,51.0,51.0,51.0
simple_73,SimpleGenerator,6,4,34,5.666666666666667,1.9411764705882353,17.0,0.0,0.21568627450980393,812.0,682.0,682.0
simple_74,SimpleGenerator,4,2,91,22.75,1.5604395604395604,14.0,0.0,0.6339285714285714,2502.0,1834.0,1856.0
simple_75,SimpleGenerator,4,1,52,13.0,1.6346153846153846,19.0,0.0,0.2236842105263158,1452.0,858.0,858.0
simple_76,SimpleGenerator,6,3,10,1.6666666666666667,2.2,9.0,0.0,0.40740740740740744,558.0,558.0,558.0
simple_77,SimpleGenerator,4,2,22,5.5,1.2272727272727273,5.0,0.0,0.44999999999999996,702.0,594.0,580.0
simple_78,SimpleGenerator,6,3,3,0.5,3.0,2.0,0.0,0.75,35.0,35.0,35.0
simple_79,SimpleGenerator,8,5,9,1.125,3.2222222222222223,4.0,0.0,0.2265625,428.0,316.0,310.0
simple_80,SimpleGenerator,7,3,76,10.857142857142858,2.1710526315789473,10.0,0.0,0.39285714285714285,2401.0,1243.0,1241.0
simple_81,SimpleGenerator,5,1,183,36.6,1.7704918032786885,15.0,0.0,0.72,4659.0,3881.0,3587.0
simple_82,SimpleGenerator,7,3,13,1.8571428571428572,2.5384615384615383,9.0,0.0,0.1746031746031746,603.0,451.0,451.0
simple_83,SimpleGenerator,5,3,10,2.0,2.1,3.0,0.0,0.35,255.0,217.0,245.0
simple_84,SimpleGenerator,7,3,41,5.857142857142857,2.1463414634146343,7.0,0.0,0.5986394557823129,1083.0,969.0,1031.0
simple_85,SimpleGenerator,7,2,52,7.428571428571429,2.3461538461538463,17.0,0.0,0.5126050420168068,2269.0,2045.0,2045.0
simple_86,SimpleGenerator,8,3,140,17.5,2.4285714285714284,18.0,0.0,0.3935185185185185,2770.0,1958.0,1840.0
simple_87,SimpleGenerator,8,4,5,0.625,3.0,11.0,0.0,0.17045454545454544,163.0,163.0,163.0
simple_88,SimpleGenerator,6,2,68,11.333333333333334,2.088235294117647,19.0,0.0,0.20760233918128654,2215.0,1021.0,1021.0
simple_89,SimpleGenerator,6,3,10,1.6666666666666667,2.5,10.0,0.0,0.1388888888888889,487.0,331.0,331.0
simple_90,SimpleGenerator,5,1,77,15.4,2.0,17.0,0.0,0.3623529411764706,1512.0,1288.0,1232.0
simple_91,SimpleGenerator,7,3,33,4.714285714285714,2.090909090909091,19.0,0.0,0.12969924812030076,835.0,547.0,547.0
simple_92,SimpleGenerator,8,3,141,17.625,2.4609929078014185,15.0,0.0,0.48194444444444445,3420.0,2206.0,2044.0
simple_93,SimpleGenerator,8,3,14,1.75,2.5,12.0,0.0,0.3645833333333333,678.0,678.0,678.0
