Instances,Source,feature_stationCount,feature_directionChangeCount,feature_passengerCount,feature_averageRailCarriageCapacity,feature_averageCongestion,feature_maxCongestion,algo_firstAvailableCarriage,algo_greedy
auto_0,RealisticGenerator,7,0,1180,76.83333333333333,0.7542609234583205,1.0,76097.0,70743.0
auto_1,RealisticGenerator,18,2,194,50.0,0.22777777777777775,0.352,6772.0,4382.0
auto_2,RealisticGenerator,5,1,1103,76.83333333333333,0.7678958785249458,1.0,28532.0,25978.0
auto_3,RealisticGenerator,24,5,657,52.857142857142854,0.4983108108108108,0.7567567567567568,43062.0,29084.0
auto_4,RealisticGenerator,18,2,1586,51.5,0.6044845122515025,0.8765603328710125,80230.0,74792.0
auto_5,RealisticGenerator,4,0,789,76.83333333333333,0.6296095444685467,1.0,18390.0,15386.0
auto_6,RealisticGenerator,8,1,476,50.625,0.3672839506172839,0.5753086419753086,31961.0,17449.0
auto_7,RealisticGenerator,20,3,1640,54.875,0.8363325740318907,1.0,82450.0,63804.0
auto_8,RealisticGenerator,11,6,1280,54.875,0.7635121143093808,1.0,45529.0,35311.0
auto_9,RealisticGenerator,24,1,1027,47.72727272727273,0.5177777777777778,0.7561904761904762,67021.0,35191.0
auto_10,RealisticGenerator,7,0,644,52.4,0.3773173391494002,0.6049618320610687,32603.0,27171.0
auto_11,RealisticGenerator,24,3,352,72.5,0.21130268199233718,0.3218390804597701,21435.0,11575.0
auto_12,RealisticGenerator,14,3,278,76.83333333333333,0.16702819956616052,0.2472885032537961,5659.0,4367.0
auto_13,RealisticGenerator,10,3,1317,51.5,0.5399445214979195,0.7794729542302358,81641.0,56405.0
auto_14,RealisticGenerator,3,0,226,56.25,0.10666666666666667,0.19555555555555557,14371.0,6481.0
auto_15,RealisticGenerator,13,1,749,56.25,0.24000000000000002,0.38222222222222224,139358.0,13206.0
auto_16,RealisticGenerator,6,1,840,72.5,0.6498084291187739,1.0,56283.0,49281.0
auto_17,RealisticGenerator,2,0,418,51.5,0.289875173370319,0.579750346740638,20878.0,12736.0
auto_18,RealisticGenerator,6,3,472,52.4,0.3164758269720102,0.47900763358778625,16566.0,11844.0
auto_19,RealisticGenerator,9,1,1042,76.83333333333333,0.65823089901181,1.0,67343.0,53609.0
auto_20,RealisticGenerator,13,1,1968,70.61538461538461,0.6279537456008044,0.9183006535947712,129474.0,86000.0
auto_21,RealisticGenerator,6,2,535,52.857142857142854,0.48333333333333334,0.7405405405405405,23945.0,16829.0
auto_22,RealisticGenerator,24,4,1265,72.5,0.7283524904214559,1.0,45912.0,38262.0
auto_23,RealisticGenerator,15,3,476,76.83333333333333,0.2993492407809111,0.4511930585683297,12616.0,10304.0
auto_24,RealisticGenerator,6,0,742,47.72727272727273,0.48380952380952386,0.7657142857142857,34695.0,27349.0
auto_25,RealisticGenerator,11,1,340,50.625,0.23681257014590348,0.37037037037037035,15052.0,8500.0
auto_26,RealisticGenerator,6,2,813,56.25,0.3,0.46444444444444444,81665.0,39259.0
auto_27,RealisticGenerator,8,1,2539,52.125,0.8050059952038369,1.0,277232.0,245388.0
auto_28,RealisticGenerator,3,0,317,56.25,0.14666666666666664,0.25555555555555554,17826.0,8584.0
auto_29,RealisticGenerator,6,1,513,76.83333333333333,0.38322487346348516,0.613882863340564,31406.0,22284.0
auto_30,RealisticGenerator,23,2,2062,70.61538461538461,0.6122951596097377,0.8671023965141612,121255.0,63143.0
auto_31,RealisticGenerator,16,4,783,76.83333333333333,0.48752711496746204,0.7527114967462039,30463.0,20527.0
auto_32,RealisticGenerator,11,2,900,54.875,0.6189687305860426,0.9020501138952164,31792.0,20342.0
auto_33,RealisticGenerator,23,0,1411,70.61538461538461,0.42118973193141995,0.6416122004357299,43205.0,33023.0
auto_34,RealisticGenerator,6,2,416,52.857142857142854,0.3833333333333333,0.5918918918918918,22629.0,12337.0
auto_35,RealisticGenerator,23,3,1960,54.875,0.88006338516391,1.0,86369.0,70905.0
auto_36,RealisticGenerator,3,1,113,52.857142857142854,0.13423423423423422,0.25135135135135134,5058.0,3512.0
auto_37,RealisticGenerator,24,5,1002,76.83333333333333,0.5750180766449747,0.8763557483731019,41807.0,30615.0
auto_38,RealisticGenerator,17,4,406,52.857142857142854,0.30127186009538953,0.4810810810810811,9753.0,7673.0
auto_39,RealisticGenerator,21,5,1104,50.0,0.8952380952380953,1.0,48023.0,42993.0
auto_40,RealisticGenerator,8,1,1152,76.83333333333333,0.7174620390455532,1.0,62928.0,57840.0
auto_41,RealisticGenerator,21,2,588,70.61538461538461,0.17164643635231872,0.25381263616557737,9581.0,6779.0
auto_42,RealisticGenerator,14,0,2880,51.5,0.8727957202298394,1.0,240808.0,233152.0
auto_43,RealisticGenerator,9,1,747,52.857142857142854,0.6402402402402402,0.9486486486486486,51133.0,33631.0
auto_44,RealisticGenerator,14,1,632,76.83333333333333,0.39014564611093894,0.6030368763557483,27340.0,18190.0
auto_45,RealisticGenerator,8,0,1268,76.83333333333333,0.7874186550976139,1.0,43112.0,37396.0
auto_46,RealisticGenerator,8,0,866,52.857142857142854,0.7003378378378379,1.0,47712.0,44348.0
auto_47,RealisticGenerator,10,3,841,50.625,0.6308641975308642,0.9185185185185185,53827.0,36047.0
auto_48,RealisticGenerator,15,3,411,50.0,0.4674666666666667,0.68,29022.0,17652.0
auto_49,RealisticGenerator,2,1,110,50.0,0.22,0.44,7138.0,7138.0
simple_0,SimpleGenerator,4,2,0,1.0,0.0,0.0,0.0,0.0
simple_1,SimpleGenerator,4,1,1,3.0,0.16666666666666666,0.3333333333333333,9.0,9.0
simple_2,SimpleGenerator,6,3,6,2.0,0.25,0.5,177.0,131.0
simple_3,SimpleGenerator,4,1,7,9.0,0.1388888888888889,0.2777777777777778,286.0,286.0
simple_4,SimpleGenerator,6,3,1,1.0,0.03333333333333333,0.2,10.0,4.0
simple_5,SimpleGenerator,6,3,11,7.0,0.15079365079365079,0.2857142857142857,450.0,386.0
simple_6,SimpleGenerator,4,2,0,5.0,0.0,0.0,0.0,0.0
simple_7,SimpleGenerator,4,3,9,7.0,0.23214285714285715,0.5,327.0,269.0
simple_8,SimpleGenerator,5,2,1,2.0,0.1,0.5,65.0,65.0
simple_9,SimpleGenerator,5,2,2,4.0,0.049999999999999996,0.16666666666666666,39.0,35.0
simple_10,SimpleGenerator,6,3,3,2.0,0.25,0.5,135.0,85.0
simple_11,SimpleGenerator,4,0,8,5.0,0.21666666666666667,0.4,181.0,181.0
simple_12,SimpleGenerator,4,2,2,2.0,0.08333333333333333,0.16666666666666666,90.0,82.0
simple_13,SimpleGenerator,6,1,10,9.0,0.23148148148148148,0.3888888888888889,300.0,292.0
simple_14,SimpleGenerator,4,2,4,2.0,0.2,0.3,72.0,72.0
simple_15,SimpleGenerator,6,3,0,1.0,0.0,0.0,0.0,0.0
simple_16,SimpleGenerator,6,2,0,6.0,0.0,0.0,0.0,0.0
simple_17,SimpleGenerator,6,2,4,4.0,0.06944444444444443,0.16666666666666666,153.0,153.0
simple_18,SimpleGenerator,4,2,0,0.0,0.0,0.0,0.0,0.0
simple_19,SimpleGenerator,5,2,27,9.0,0.23555555555555557,0.35555555555555557,664.0,530.0
simple_20,SimpleGenerator,6,2,4,4.0,0.1111111111111111,0.16666666666666666,155.0,129.0
simple_21,SimpleGenerator,5,1,13,3.0,0.22666666666666666,0.6666666666666666,333.0,333.0
simple_22,SimpleGenerator,6,1,6,4.0,0.25,0.5,168.0,162.0
simple_23,SimpleGenerator,5,2,0,3.0,0.0,0.0,0.0,0.0
simple_24,SimpleGenerator,4,3,1,8.0,0.010416666666666666,0.041666666666666664,100.0,100.0
